Type;Dim;Var
Freq;Biz;freq_think_ordinary
Freq;Spo;freq_scenario
Freq;Emo;freq_negative
Freq;Imm;freq_absorbed
Freq;Flu;freq_percept_fleeting
Freq;Biz;freq_think_bizarre
Freq;Spo;freq_planning
Freq;Imm;freq_spectator
Freq;Emo;freq_ruminate
Freq;Per;freq_percept_intense
Freq;Flu;freq_percept_narrative
Freq;Biz;freq_percept_ordinary
Freq;Tim;freq_time_perc_fast
Freq;Per;freq_percept_vague
Freq;Spo;freq_replay
Freq;Biz;freq_percept_bizarre
Freq;Emo;freq_emo_intense
Freq;Flu;freq_percept_continuous
Freq;Spo;freq_think_nocontrol
Freq;Per;freq_percept_dull
Freq;Emo;freq_emo_neutral
Freq;Imm;freq_actor
Freq;Biz;freq_think_seq_bizarre
Freq;Per;freq_percept_precise
Freq;Spo;freq_percept_imposed
Freq;Imm;freq_hear_env
Freq;Emo;freq_positive
Freq;Biz;freq_think_seq_ordinary
Freq;Per;freq_percept_real
Freq;Tim;freq_time_perc_slow
Freq;Imm;freq_syn
Freq;Biz;freq_creat
Temp;NaN;degreequest_vividness
Temp;NaN;degreequest_distinctness 
Temp;NaN;degreequest_immersiveness
Temp;NaN;degreequest_bizarreness
Temp;NaN;degreequest_spontaneity
Temp;NaN;degreequest_fleetingness
Temp;NaN;degreequest_emotionality
Temp;NaN;degreequest_sleepiness
